"","participant","X.2","X.1","X","between","within","overall_pointing","Overall_rsquared","Overall_angle","Batty_rsquared","Batty_angle","Golledge_rsquared","Golledge_angle","Condition","First_Building_in_model.building","Pilot","sex","first_route","Overall_angle_corrected","Batty_angle_corrected","Golledge_angle_corrected","first_connecting_route","correct_absolute_error_other","condition_all","exp","Video_Game_Play","know_how_use","experienced","easy_use","compass_use"
"18",2028,74,74,18,40.3010352670738,23.2154627525336,32.9786470465566,0.414108700413117,118.534246193067,0.485892298388067,141.511077533817,0.777339749207879,184.575053872504,"Mountains","Golledge Hall","No","female","Golledge",118.534246193067,141.511077533817,184.575053872504,"C1",92.96082875,"Mountains","Exp2","No",9,0,5,4.66666666666667
"19",2029,75,75,19,48.3986190306628,20.2586470414429,36.3386310352828,0.721767120707608,-29.1634994193636,0.974781614968413,-40.2417256817553,0.388447880376612,3.77068714461166,"Compass","Batty House","No","male","Batty",-29.1634994193636,-40.2417256817553,3.77068714461166,"C1",29.94780625,"Compass","Exp2","Yes",100,100,100,100
"20",2030,76,76,20,53.5080749860921,17.7090647462721,38.1656420261692,0.389509361499536,139.937996161316,0.601250094079537,65.6336231335952,0.775991590302397,182.604827221947,"Mountains","Batty House","No","male","Golledge",139.937996161316,65.6336231335952,182.604827221947,"C2",45.66660625,"Mountains","Exp2","Yes",90,55,62,69
"21",2031,77,77,21,57.5903400164612,41.471564103399,50.6822931965774,0.261397714962195,71.668918984608,0.646593654464973,18.5101778120815,0.0663996059717455,45.2732319241685,"Compass","Batty House","No","female","Batty",71.668918984608,18.5101778120815,45.2732319241685,"C1",59.090975,"Compass","Exp2","No",0,0,0,0
"22",2033,78,78,22,93.449599860095,61.1191777047817,79.593704650675,0.0541463223276729,164.520545069133,0.136082015928465,235.493691088271,0.150827382465843,153.995470864308,"Compass","Golledge Hall","No","female","Golledge",164.520545069133,235.493691088271,153.995470864308,"C1",103.258308375,"Compass","Exp2","No",15,28,0,14.3333333333333
"23",2034,79,79,23,71.151511355775,43.1157956356345,59.1362046185719,0.205380838863246,59.4572273276681,0.775478872634606,1.13810475023169,0.832142805765117,27.7639097632891,"Mountains","Batty House","No","female","Batty",59.4572273276681,1.13810475023169,27.7639097632891,"C2",54.43646625,"Mountains","Exp2","No",68,26,58,50.6666666666667
"24",2035,80,80,24,33.2649374026846,30.6274851628558,32.1346007284722,0.546123907372387,-54.0857950870163,0.468039120528843,-19.7055627137276,0.644473913656975,-53.9458521226218,"Mountains","Golledge Hall","No","male","Golledge",-54.0857950870163,-19.7055627137276,-53.9458521226218,"C1",115.89623625,"Mountains","Exp2","Yes",50,20,40,36.6666666666667
"25",2036,81,81,25,33.5123589051489,29.6142607328164,31.8417454027207,0.228828910470366,111.737889724209,0.930256493447877,109.911346797435,0.421700161671899,138.547008996902,"Compass","Batty House","No","female","Batty",111.737889724209,109.911346797435,138.547008996902,"C2",46.9399775,"Compass","Exp2","No",48,20,24,30.6666666666667
"26",2037,82,82,26,28.5391474419695,18.0922800923143,24.0619185778316,0.855939655236381,-24.4454810780955,0.93613706748933,-27.9934223031759,0.812545983036249,-18.747385310547,"Mountains","Sauer Center","No","female","Batty",-24.4454810780955,-27.9934223031759,-18.747385310547,"C1",38.99287,"Mountains","Exp2","No",17,44,20,27
"27",2038,83,83,27,17.1679791040827,13.4896402348807,15.591548160139,0.943141506074294,150.411123335,0.912585041660825,141.789137900635,0.910132600738528,153.398759822977,"Mountains","Lynch Station","No","male","Golledge",150.411123335,141.789137900635,153.398759822977,"C2",24.20581375,"Mountains","Exp2","No",51,28,51,43.3333333333333
"28",2039,84,84,28,54.6420633203196,53.7600269456054,54.2640477311564,0.622626373758236,-20.6017781767581,0.911209135630125,-31.4393802195506,0.318310225466404,-68.2724517513512,"Mountains","Batty House","No","female","Batty",-20.6017781767581,-31.4393802195506,-68.2724517513512,"C2",114.766659625,"Mountains","Exp2","No",8,3,0,3.66666666666667
"29",2040,85,85,29,59.4899856983378,29.5122632566455,46.642390366184,0.862638335097275,-12.8242152511183,0.796598515791448,-51.3447223935261,0.926346395174755,-3.22659070378987,"Mountains","Batty House","No","male","Batty",-12.8242152511183,-51.3447223935261,-3.22659070378987,"C1",58.90677,"Mountains","Exp2","Yes",0,0,0,0
"30",2041,86,86,30,15.5534988829135,7.77825420841104,12.2212511652696,0.83785864204274,128.709920878004,0.883606011672943,144.893677124242,0.844003368806872,93.5245332163037,"Compass","Batty House","No","female","Golledge",128.709920878004,144.893677124242,93.5245332163037,"C1",15.6324825,"Compass","Exp2","Yes",66,27,37,43.3333333333333
"31",2042,87,87,31,74.3064587676745,9.03409176185844,46.3325871937533,0.883307145614323,6.37928623647358,0.916738765875065,4.22037309968703,0.375440463041604,28.5437845868405,"Mountains","Batty House","No","female","Batty",6.37928623647358,4.22037309968703,28.5437845868405,"C1",60.3392175,"Mountains","Exp2","No",100,90,43,77.6666666666667
"32",2043,88,88,32,32.2137483092203,14.9250381472174,24.8043010969333,0.88792657384,-31.2750927633061,0.820777710654105,-26.3619545708991,0.864178978289949,-21.4126403348569,"Compass","Snow Church","No","male","Golledge",-31.2750927633061,-26.3619545708991,-21.4126403348569,"C1",48.60656375,"Compass","Exp2","Yes",100,100,53,84.3333333333333
