"","start_landmark","participant","target_landmark","point_order","participant_response","within_between","participant_360_response","actual_direction","actual_360_direction","mountain_0_p_angle0","error","mountain_0_p_angle360"
"73","Batty House",2040,"Mountain Range",7,171.542,"other",171.542,-176,184,-12.458,12.458,347.542
"74","Batty House",2019,"Compass North",6,-174.462,"other",185.538,-176,184,1.53799999999998,1.53799999999998,1.53799999999998
"75","Batty House",2066,"Mountain Range",1,177.5625,"other",177.5625,-176,184,-6.4375,6.4375,353.5625
"76","Batty House",2083,"Mountain Range",6,127.4366,"other",127.4366,-176,184,-56.5634,56.5634,303.4366
"77","Golledge Hall",2011,"Compass North",32,48.17465,"other",48.17465,131.5,131.5,-83.32535,83.32535,276.67465
"78","Golledge Hall",2002,"Mountain Range",35,15.27489,"other",15.27489,131.5,131.5,-116.22511,116.22511,243.77489
"79","Golledge Hall",2027,"Compass North",34,177.2165,"other",177.2165,131.5,131.5,45.7165,45.7165,45.7165
"80","Golledge Hall",2014,"Mountain Range",32,162.008,"other",162.008,131.5,131.5,30.508,30.508,30.508
"81","Golledge Hall",2029,"Compass North",36,154.1688,"other",154.1688,131.5,131.5,22.6688,22.6688,22.6688
"82","Golledge Hall",2030,"Mountain Range",35,87.14243,"other",87.14243,131.5,131.5,-44.35757,44.35757,315.64243
"83","Golledge Hall",2003,"Mountain Range",38,-97.41544,"other",262.58456,131.5,131.5,131.08456,131.08456,131.08456
"84","Golledge Hall",2005,"Mountain Range",38,149.8948,"other",149.8948,131.5,131.5,18.3948,18.3948,18.3948
"85","Golledge Hall",2017,"Compass North",33,117.7359,"other",117.7359,131.5,131.5,-13.7641,13.7641,346.2359
"86","Golledge Hall",2015,"Compass North",32,-176.3348,"other",183.6652,131.5,131.5,52.1652,52.1652,52.1652
"87","Golledge Hall",2013,"Compass North",35,112.4722,"other",112.4722,131.5,131.5,-19.0278,19.0278,340.9722
"88","Golledge Hall",2026,"Mountain Range",39,170.1583,"other",170.1583,131.5,131.5,38.6583,38.6583,38.6583
"89","Golledge Hall",2006,"Mountain Range",32,60.04229,"other",60.04229,131.5,131.5,-71.45771,71.45771,288.54229
"90","Golledge Hall",2021,"Compass North",39,160.5351,"other",160.5351,131.5,131.5,29.0351,29.0351,29.0351
"91","Golledge Hall",2001,"Mountain Range",36,-83.67331,"other",276.32669,131.5,131.5,144.82669,144.82669,144.82669
"92","Golledge Hall",2007,"Compass North",39,-89.16451,"other",270.83549,131.5,131.5,139.33549,139.33549,139.33549
"93","Golledge Hall",2012,"Mountain Range",36,148.5851,"other",148.5851,131.5,131.5,17.0851,17.0851,17.0851
"94","Golledge Hall",2008,"Mountain Range",37,8.900532,"other",8.900532,131.5,131.5,-122.599468,122.599468,237.400532
"95","Golledge Hall",2016,"Mountain Range",34,13.09005,"other",13.09005,131.5,131.5,-118.40995,118.40995,241.59005
"96","Golledge Hall",2028,"Mountain Range",39,44.84943,"other",44.84943,131.5,131.5,-86.65057,86.65057,273.34943
"97","Golledge Hall",2025,"Compass North",39,142.9864,"other",142.9864,131.5,131.5,11.4864,11.4864,11.4864
"98","Golledge Hall",2039,"Mountain Range",38,-19.36262,"other",340.63738,131.5,131.5,209.13738,150.86262,209.13738
"99","Golledge Hall",2004,"Mountain Range",39,50.21097,"other",50.21097,131.5,131.5,-81.28903,81.28903,278.71097
"100","Golledge Hall",2018,"Mountain Range",36,20.48004,"other",20.48004,131.5,131.5,-111.01996,111.01996,248.98004
"101","Golledge Hall",2019,"Compass North",35,88.77351,"other",88.77351,131.5,131.5,-42.72649,42.72649,317.27351
"102","Golledge Hall",2023,"Compass North",38,-92.15105,"other",267.84895,131.5,131.5,136.34895,136.34895,136.34895
"103","Golledge Hall",2037,"Mountain Range",39,161.6696,"other",161.6696,131.5,131.5,30.1696,30.1696,30.1696
"104","Golledge Hall",2024,"Mountain Range",34,-173.7041,"other",186.2959,131.5,131.5,54.7959,54.7959,54.7959
"105","Golledge Hall",2036,"Compass North",35,152.9131,"other",152.9131,131.5,131.5,21.4131,21.4131,21.4131
"106","Golledge Hall",2034,"Mountain Range",36,-68.83511,"other",291.16489,131.5,131.5,159.66489,159.66489,159.66489
"107","Golledge Hall",2031,"Compass North",34,-172.3179,"other",187.6821,131.5,131.5,56.1821,56.1821,56.1821
"108","Golledge Hall",2033,"Compass North",34,-142.5737,"other",217.4263,131.5,131.5,85.9263,85.9263,85.9263
"109","Golledge Hall",2041,"Compass North",35,100.412,"other",100.412,131.5,131.5,-31.088,31.088,328.912
"110","Golledge Hall",2046,"Compass North",38,84.58952,"other",84.58952,131.5,131.5,-46.91048,46.91048,313.08952
"111","Golledge Hall",2044,"Mountain Range",32,-7.949446,"other",352.050554,131.5,131.5,220.550554,139.449446,220.550554
"112","Golledge Hall",2022,"Mountain Range",39,45.1612,"other",45.1612,131.5,131.5,-86.3388,86.3388,273.6612
"113","Golledge Hall",2040,"Mountain Range",34,-21.19331,"other",338.80669,131.5,131.5,207.30669,152.69331,207.30669
"114","Golledge Hall",2038,"Mountain Range",38,177.5757,"other",177.5757,131.5,131.5,46.0757,46.0757,46.0757
"115","Golledge Hall",2045,"Compass North",37,-53.366,"other",306.634,131.5,131.5,175.134,175.134,175.134
"116","Golledge Hall",2042,"Mountain Range",33,-175.6004,"other",184.3996,131.5,131.5,52.8996,52.8996,52.8996
"117","Golledge Hall",2035,"Mountain Range",39,-90.54203,"other",269.45797,131.5,131.5,137.95797,137.95797,137.95797
"118","Golledge Hall",2043,"Compass North",37,82.32704,"other",82.32704,131.5,131.5,-49.17296,49.17296,310.82704
"119","Golledge Hall",2049,"Mountain Range",33,-171.681,"other",188.319,131.5,131.5,56.819,56.819,56.819
"120","Golledge Hall",2047,"Compass North",35,-101.2085,"other",258.7915,131.5,131.5,127.2915,127.2915,127.2915
"121","Golledge Hall",2048,"Mountain Range",32,49.08482,"other",49.08482,131.5,131.5,-82.41518,82.41518,277.58482
"122","Golledge Hall",2060,"Mountain Range",38,148.8033,"other",148.8033,131.5,131.5,17.3033,17.3033,17.3033
"123","Golledge Hall",2056,"Mountain Range",34,13.87872,"other",13.87872,131.5,131.5,-117.62128,117.62128,242.37872
"124","Golledge Hall",2063,"Compass North",34,-83.29414,"other",276.70586,131.5,131.5,145.20586,145.20586,145.20586
"125","Golledge Hall",2051,"Compass North",38,-108.5588,"other",251.4412,131.5,131.5,119.9412,119.9412,119.9412
"126","Golledge Hall",2050,"Mountain Range",38,-56.90529,"other",303.09471,131.5,131.5,171.59471,171.59471,171.59471
"127","Golledge Hall",2057,"Compass North",38,77.24232,"other",77.24232,131.5,131.5,-54.25768,54.25768,305.74232
"128","Golledge Hall",2052,"Mountain Range",33,-97.00846,"other",262.99154,131.5,131.5,131.49154,131.49154,131.49154
"129","Golledge Hall",2070,"Mountain Range",38,62.37949,"other",62.37949,131.5,131.5,-69.12051,69.12051,290.87949
"130","Golledge Hall",2054,"Mountain Range",38,-23.02933,"other",336.97067,131.5,131.5,205.47067,154.52933,205.47067
"131","Golledge Hall",2058,"Mountain Range",32,-169.2777,"other",190.7223,131.5,131.5,59.2223,59.2223,59.2223
"132","Golledge Hall",2068,"Mountain Range",35,142.9659,"other",142.9659,131.5,131.5,11.4659,11.4659,11.4659
"133","Golledge Hall",2061,"Compass North",38,-111.0442,"other",248.9558,131.5,131.5,117.4558,117.4558,117.4558
"134","Golledge Hall",2069,"Compass North",36,66.8239,"other",66.8239,131.5,131.5,-64.6761,64.6761,295.3239
"135","Golledge Hall",2067,"Compass North",32,46.2384,"other",46.2384,131.5,131.5,-85.2616,85.2616,274.7384
"136","Golledge Hall",2080,"Compass North",34,105.2658,"other",105.2658,131.5,131.5,-26.2342,26.2342,333.7658
"137","Golledge Hall",2077,"Compass North",37,2.31283,"other",2.31283,131.5,131.5,-129.18717,129.18717,230.81283
"138","Golledge Hall",2059,"Compass North",38,-83.37057,"other",276.62943,131.5,131.5,145.12943,145.12943,145.12943
"139","Golledge Hall",2053,"Compass North",33,52.74819,"other",52.74819,131.5,131.5,-78.75181,78.75181,281.24819
"140","Golledge Hall",2066,"Mountain Range",36,-24.32408,"other",335.67592,131.5,131.5,204.17592,155.82408,204.17592
"141","Golledge Hall",2073,"Compass North",35,6.672385,"other",6.672385,131.5,131.5,-124.827615,124.827615,235.172385
"142","Golledge Hall",2072,"Mountain Range",34,30.64673,"other",30.64673,131.5,131.5,-100.85327,100.85327,259.14673
