"","participant","X.2","X.1","X","between","within","overall_pointing","Overall_rsquared","Overall_angle","Batty_rsquared","Batty_angle","Golledge_rsquared","Golledge_angle","Condition","First_Building_in_model.building","Pilot","sex","first_route","Overall_angle_corrected","Batty_angle_corrected","Golledge_angle_corrected","first_connecting_route","correct_absolute_error_other","condition_all","exp","Video_Game_Play","group","SBSOD_avg"
"18",30,18,18,18,62.3539963313033,20.5709011078088,44.4469555212342,0.475750147048113,58.5786952908118,0.881126809235977,47.4479531356305,0.803043950288474,-66.6065506652196,"No","Batty House","No","female","Batty",58.5786952908118,47.4479531356305,293.39344933478,"C2",NA,"Control","Exp1","No","Control",4.8
"19",31,19,19,19,17.5944219565626,6.10773346610012,12.6715554606501,0.751089920300064,-34.1683842074637,0.920516216660519,-38.1308985231248,0.850777003576586,14.8598815726071,"Yes","Sauer Center","No","female","Batty",325.831615792536,321.869101476875,14.8598815726071,"C2",NA,"Compass","Exp1","No","Experiment",4.13333333333333
"20",32,20,20,20,56.2754664813639,15.4517426151754,38.779584824426,0.517060696475535,155.1734749055,0.895909759891846,49.5750515237442,0.860116919199713,209.986625466739,"No","Tobler Museum","No","female","Batty",155.1734749055,49.5750515237442,209.986625466739,"C2",NA,"Control","Exp1","No","Control",3
"21",33,21,21,21,63.1830529268033,42.8368558152391,54.4632541647043,0.353717566744609,-1.57554896716668,0.67138035372032,214.856480029817,0.821083676484223,-1.21948183349471,"Yes","Harvey House","No","female","Golledge",358.424451032833,214.856480029817,358.780518166505,"C2",NA,"Compass","Exp1","No","Experiment",5.33333333333333
"22",34,22,22,22,55.8845477442575,31.3904706754029,45.3870861433198,0.260898936363829,-23.8190844547033,0.635667421985182,267.601021117449,0.802522810028715,86.6362267613141,"No","Batty House","No","female","Batty",336.180915545297,267.601021117449,86.6362267613141,"C2",NA,"Control","Exp1","No","Control",2.93333333333333
"23",35,23,23,23,59.0876835478234,22.4405056954433,43.3817501825176,0.607496089444261,-42.0275784033818,0.782023056846208,-28.8312171675579,0.849792999382433,-3.52166233627326,"Yes","Golledge Hall","No","female","Golledge",317.972421596618,331.168782832442,356.478337663727,"C1",NA,"Compass","Exp1","No","Experiment",3.66666666666667
"24",39,24,24,24,52.2427258411855,30.3615667288994,42.8650862216343,0.472110787339503,209.35316186864,0.176698519809597,90.4578980723904,0.94960965073916,188.3653158876,"Yes","Golledge Hall","No","female","Golledge",209.35316186864,90.4578980723904,188.3653158876,"C1",NA,"Compass","Exp1","No","Experiment",4.53333333333333
"25",40,25,25,25,66.5521838320753,45.8228194968147,57.668170545535,0.819285636392248,-0.208298615043116,0.819598032670347,-29.8939888526416,0.836048339532038,13.3239785011274,"No","Batty House","No","female","Batty",359.791701384957,330.106011147358,13.3239785011274,"C2",NA,"Control","Exp1","Yes","Control",3.93333333333333
"26",41,26,26,26,79.4965014057727,42.0411024840394,63.4441875821727,0.175894503293877,198.477014494488,0.238427836902535,144.879918535763,0.877345516581736,199.146110807395,"Yes","Golledge Hall","No","female","Golledge",198.477014494488,144.879918535763,199.146110807395,"C1",NA,"Compass","Exp1","No","Experiment",2.53333333333333
"27",43,27,27,27,62.151271004506,6.96526612624027,38.5001260566778,0.884901988533023,-25.3865686077107,0.978276626481098,-35.9704064962567,0.911831175888784,18.4244135358012,"Yes","Batty House","No","male","Batty",334.613431392289,324.029593503743,18.4244135358012,"C1",NA,"Compass","Exp1","Yes","Experiment",4.33333333333333
"28",44,28,28,28,16.6012549191166,10.7877547052518,14.1097548274603,0.789726431169252,-43.0933466726389,0.776670765477371,-16.1097084773553,0.936620156192936,-49.027698627767,"No","Batty House","No","male","Golledge",316.906653327361,343.890291522645,310.972301372233,"C1",NA,"Control","Exp1","No","Control",5.06666666666667
"29",45,29,29,29,37.0691948214595,9.86030442595616,25.4082417948152,0.780643076530412,156.460785947281,0.891009474608618,128.956831428544,0.871337169348148,209.248036312045,"Yes","Batty House","No","female","Batty",156.460785947281,128.956831428544,209.248036312045,"C2",NA,"Compass","Exp1","No","Experiment",4.6
"30",46,30,30,30,59.6321240428796,34.5418779831144,48.8791614458374,0.698351991646092,-49.4882605105057,0.869310242273476,-52.9419904829119,0.770415318687322,-6.02404705567375,"No","Batty House","No","male","Batty",310.511739489494,307.058009517088,353.975952944326,"C1",NA,"Control","Exp1","No","Control",3.73333333333333
"31",48,31,31,31,14.235965719441,5.78518471342554,10.6142024311487,0.981045258285737,-1.96707127622659,0.960203453211641,-2.01545788409178,0.955791623126703,-11.9689264713385,"No","Batty House","No","male","Batty",358.032928723773,357.984542115908,348.031073528662,"C1",NA,"Control","Exp1","Yes","Control",2.6
