"participant","date","model number","building","x","y","error"
"2019","2022-04-06 18:00:58 UTC","0","Batty House","577","43","595.7692506331625"
"2019","2022-04-06 18:00:58 UTC","0","Sauer Center","50","461","733.8671541907295"
"2019","2022-04-06 18:00:58 UTC","0","Golledge Hall","146","245","420.523483291956"
"2019","2022-04-06 18:00:58 UTC","0","Harris Hall","419","293","214.72074888095935"
"2019","2022-04-06 18:00:58 UTC","0","Harvey House","355","57","432.3251091481965"
"2019","2022-04-06 18:00:58 UTC","0","Snow Church","0","319","725.0186204505371"
"2019","2022-04-06 18:00:58 UTC","0","Tobler Museum","284","463","399.9524971793525"
"2021","2022-04-11 14:17:34 UTC","0","Batty House","686","43","697.6546423553706"
"2021","2022-04-11 14:17:34 UTC","0","Lynch Station","634","139","622.1808418779865"
"2021","2022-04-11 14:17:34 UTC","0","Harris Hall","333","144","143.69411957348845"
"2021","2022-04-11 14:17:34 UTC","0","Harvey House","91","40","489.1155282752736"
"2021","2022-04-11 14:17:34 UTC","0","Tobler Museum","160","301","378.06084166440723"
"2021","2022-04-11 14:17:34 UTC","0","Golledge Hall","147","465","451.8462127759842"
"2021","2022-04-11 14:17:34 UTC","0","Sauer Center","365","298","391.72566931463655"
"2021","2022-04-11 14:17:34 UTC","0","Snow Church","449","417","340.9296115036064"
"2022","2022-04-11 15:43:20 UTC","0","Tobler Museum","58","376","503.72710866102886"
"2022","2022-04-11 15:43:20 UTC","0","Golledge Hall","384","487","266.11275805567834"
"2022","2022-04-11 15:43:20 UTC","0","Snow Church","521","345","240.05207768315609"
"2022","2022-04-11 15:43:20 UTC","0","Sauer Center","368","221","335.7156534926544"
"2022","2022-04-11 15:43:20 UTC","0","Batty House","65","145","132.5631924781536"
"2022","2022-04-11 15:43:20 UTC","0","Lynch Station","225","33","231.62469643800938"
"2022","2022-04-11 15:43:20 UTC","0","Harris Hall","504","68","329.3706119252293"
"2022","2022-04-11 15:43:20 UTC","0","Harvey House","669","104","534.5895621876656"
"2023","2022-04-11 18:59:44 UTC","0","Golledge Hall","408","389","184.22811946062956"
"2023","2022-04-11 18:59:44 UTC","0","Batty House","283","419","295.2033197645311"
"2023","2022-04-11 18:59:44 UTC","0","Lynch Station","124","27","148.16544806398016"
"2023","2022-04-11 18:59:44 UTC","0","Snow Church","592","186","125.44720004846661"
"2023","2022-04-11 18:59:44 UTC","0","Sauer Center","594","449","445.0808915242262"
"2023","2022-04-11 18:59:44 UTC","0","Tobler Museum","598","35","136.35981812836215"
"2023","2022-04-11 18:59:44 UTC","0","Harvey House","87","315","267.8600380795911"
"2023","2022-04-11 18:59:44 UTC","0","Harris Hall","537","318","334.88505490690386"
"2024","2022-04-12 16:42:55 UTC","0","Golledge Hall","372","135","247.38633753705963"
"2024","2022-04-12 16:42:55 UTC","0","Snow Church","281","284","442.11536955867075"
"2024","2022-04-12 16:42:55 UTC","0","Sauer Center","393","412","468.47945525924615"
"2024","2022-04-12 16:42:55 UTC","0","Tobler Museum","594","324","225.84286572747877"
"2024","2022-04-12 16:42:55 UTC","0","Lynch Station","102","14","142.12670403551894"
"2024","2022-04-12 16:42:55 UTC","0","Batty House","13","130","142.68847185389575"
"2024","2022-04-12 16:42:55 UTC","0","Harris Hall","689","151","479.8968639197385"
"2024","2022-04-12 16:42:55 UTC","0","Harvey House","623","38","555.0225220655465"
"2025","2022-04-12 18:15:57 UTC","0","Lynch Station","586","85","575.3233873222955"
"2025","2022-04-12 18:15:57 UTC","0","Batty House","610","26","632.7756316420537"
"2025","2022-04-12 18:15:57 UTC","0","Harris Hall","443","165","236.01906702637396"
"2025","2022-04-12 18:15:57 UTC","0","Harvey House","227","45","445.0719043031137"
"2025","2022-04-12 18:15:57 UTC","0","Golledge Hall","112","344","455.09669302248284"
"2025","2022-04-12 18:15:57 UTC","0","Tobler Museum","363","308","226.92730113408567"
"2025","2022-04-12 18:15:57 UTC","0","Snow Church","323","465","471.22075506072525"
"2025","2022-04-12 18:15:57 UTC","0","Sauer Center","524","441","447.54552841023894"
"2026","2022-04-13 17:32:59 UTC","0","Batty House","57","64","210.15232570685484"
"2026","2022-04-13 17:32:59 UTC","0","Lynch Station","176","32","188.04254837669055"
"2026","2022-04-13 17:32:59 UTC","0","Harvey House","395","47","449.4941601400401"
"2026","2022-04-13 17:32:59 UTC","0","Harris Hall","600","46","425.0"
"2026","2022-04-13 17:32:59 UTC","0","Golledge Hall","588","155","138.10141201305655"
"2026","2022-04-13 17:32:59 UTC","0","Snow Church","485","286","244.78970566590417"
"2026","2022-04-13 17:32:59 UTC","0","Sauer Center","677","344","342.96501279285036"
"2026","2022-04-13 17:32:59 UTC","0","Tobler Museum","492","460","338.0014792867037"
"2027","2022-04-13 19:25:18 UTC","0","Batty House","121","417","172.80335644888382"
"2027","2022-04-13 19:25:18 UTC","0","Lynch Station","105","255","160.65490966665163"
"2027","2022-04-13 19:25:18 UTC","0","Harris Hall","578","208","363.4460069941614"
"2027","2022-04-13 19:25:18 UTC","0","Snow Church","422","120","306.04084694693944"
"2027","2022-04-13 19:25:18 UTC","0","Sauer Center","534","2","91.0494371207203"
"2027","2022-04-13 19:25:18 UTC","0","Tobler Museum","16","142","477.41910309496416"
"2027","2022-04-13 19:25:18 UTC","0","Golledge Hall","214","45","427.80369329869046"
"2027","2022-04-13 19:25:18 UTC","0","Harvey House","79","-8","537.841984229569"
"2027","2022-04-13 19:25:18 UTC","1","Batty House","105","464","207.23899247004653"
"2027","2022-04-13 19:25:18 UTC","1","Lynch Station","225","293","271.9007171744863"
"2027","2022-04-13 19:25:18 UTC","1","Sauer Center","667","125","127.13772060250254"
"2027","2022-04-13 19:25:18 UTC","1","Snow Church","467","156","253.77549133042774"
"2027","2022-04-13 19:25:18 UTC","1","Golledge Hall","128","118","469.0682253148256"
"2027","2022-04-13 19:25:18 UTC","1","Harris Hall","65","20","254.82543044209697"
"2027","2022-04-13 19:25:18 UTC","1","Harvey House","317","9","476.5553483069936"
"2027","2022-04-13 19:25:18 UTC","1","Tobler Museum","266","113","227.17834403833479"
"2028","2022-04-13 20:47:25 UTC","0","Golledge Hall","384","223","192.4162155328911"
"2028","2022-04-13 20:47:25 UTC","0","Snow Church","224","305","502.0597573994554"
"2028","2022-04-13 20:47:25 UTC","0","Sauer Center","293","444","550.4043967847641"
"2028","2022-04-13 20:47:25 UTC","0","Tobler Museum","612","445","344.223764432382"
"2028","2022-04-13 20:47:25 UTC","0","Batty House","637","147","622.6756780218736"
"2028","2022-04-13 20:47:25 UTC","0","Lynch Station","401","8","405.9273333984791"
"2028","2022-04-13 20:47:25 UTC","0","Harris Hall","164","154","88.23264701911646"
"2028","2022-04-13 20:47:25 UTC","0","Harvey House","40","90","469.61792981103264"
"2029","2022-04-14 19:08:03 UTC","0","Batty House","153","514","272.8369476445593"
"2029","2022-04-14 19:08:03 UTC","0","Lynch Station","52","305","185.3672031401456"
"2029","2022-04-14 19:08:03 UTC","0","Harris Hall","280","240","66.49060083951716"
"2029","2022-04-14 19:08:03 UTC","0","Tobler Museum","365","104","129.2594290564522"
"2029","2022-04-14 19:08:03 UTC","0","Sauer Center","550","19","76.2954782408499"
"2029","2022-04-14 19:08:03 UTC","0","Snow Church","518","350","245.41597340026587"
"2029","2022-04-14 19:08:03 UTC","0","Golledge Hall","653","229","108.4665847162157"
"2029","2022-04-14 19:08:03 UTC","0","Harvey House","692","475","398.1256083197864"
"2030","2022-04-15 14:28:10 UTC","0","Batty House","517","42","541.2947441089743"
"2030","2022-04-15 14:28:10 UTC","0","Lynch Station","559","93","547.8777235843779"
"2030","2022-04-15 14:28:10 UTC","0","Golledge Hall","315","241","253.97047072445253"
"2030","2022-04-15 14:28:10 UTC","0","Snow Church","130","314","596.0511722998286"
"2030","2022-04-15 14:28:10 UTC","0","Harvey House","383","488","89.05054744357274"
"2030","2022-04-15 14:28:10 UTC","0","Harris Hall","383","124","196.5400722499104"
"2030","2022-04-15 14:28:10 UTC","0","Sauer Center","231","387","548.7804661246608"
"2030","2022-04-15 14:28:10 UTC","0","Tobler Museum","434","386","270.51247660690257"
"2031","2022-04-15 15:35:47 UTC","0","Batty House","55","139","135.9154148726332"
"2031","2022-04-15 15:35:47 UTC","0","Lynch Station","273","10","284.8104632909402"
"2031","2022-04-15 15:35:47 UTC","0","Harris Hall","578","220","363.0495833904785"
"2031","2022-04-15 15:35:47 UTC","0","Harvey House","395","324","190.057885919001"
"2031","2022-04-15 15:35:47 UTC","0","Golledge Hall","70","442","516.5626777071685"
"2031","2022-04-15 15:35:47 UTC","0","Snow Church","464","488","378.93667017062364"
"2031","2022-04-15 15:35:47 UTC","0","Sauer Center","198","278","506.81160207714265"
"2031","2022-04-15 15:35:47 UTC","0","Tobler Museum","595","415","310.24667604988133"
"2033","2022-04-15 21:22:04 UTC","0","Golledge Hall","298","306","266.42259663924904"
"2033","2022-04-15 21:22:04 UTC","0","Snow Church","160","194","556.1088023040096"
"2033","2022-04-15 21:22:04 UTC","0","Harvey House","329","131","355.72601816566635"
"2033","2022-04-15 21:22:04 UTC","0","Sauer Center","552","381","383.020887158912"
"2033","2022-04-15 21:22:04 UTC","0","Batty House","581","207","557.8001434205624"
"2033","2022-04-15 21:22:04 UTC","0","Tobler Museum","301","476","402.715780669196"
"2033","2022-04-15 21:22:04 UTC","0","Lynch Station","64","335","217.3131381210073"
"2033","2022-04-15 21:22:04 UTC","0","Harris Hall","427","403","276.1756687327832"
"2034","2022-04-16 14:01:21 UTC","0","Batty House","309","10","384.92596690792374"
"2034","2022-04-16 14:01:21 UTC","0","Lynch Station","280","57","276.24807691638324"
"2034","2022-04-16 14:01:21 UTC","0","Harris Hall","425","193","212.5770448566825"
"2034","2022-04-16 14:01:21 UTC","0","Tobler Museum","177","326","376.12763791032427"
"2034","2022-04-16 14:01:21 UTC","0","Sauer Center","552","266","271.01660465735307"
"2034","2022-04-16 14:01:21 UTC","0","Snow Church","462","466","364.1936298179857"
"2034","2022-04-16 14:01:21 UTC","0","Harvey House","693","476","399.1014908516379"
"2034","2022-04-16 14:01:21 UTC","0","Golledge Hall","273","469","341.1231449198368"
"2035","2022-04-16 15:11:40 UTC","0","Golledge Hall","569","291","5.0"
"2035","2022-04-16 15:11:40 UTC","0","Snow Church","427","151","294.0017006753532"
