ID,Silcton ID,Pilot,Condition,Date,Time Arrived,Time Done,Tasks_done,First_Building_in_model building
2062,2062,No,Mountains,7/5/2022,12:25 PM,2:01 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Golledge Hall
2063,2063,No,Compass,7/5/2022,2:04 PM,3:05 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2064,2064,No,Mountains,7/5/2022,3:29 PM,4:34 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2065,2065,No,Compass,7/5/2022,4:45 PM,5:39 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2066,2066,No,Mountains,7/7/2022,9:26 AM,10:28 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Golledge Hall
2067,2067,No,Compass,7/11/2022,9:29 AM,10:52 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Sauer Center
2068,2068,No,Mountains,7/11/2022,12:49 PM,1:51 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2069,2069,No,Compass,7/12/2022,10:57 AM,12:35 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Tobler Museum
2070,2070,No,Mountains,7/13/2022,9:01 AM,10:02 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Lynch Station
2071,2071,No,Compass,7/13/2022,12:30 PM,n/a,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",n/a
2072,2072,No,Mountains,7/15/2022,10:47 AM,12:07 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2073,2073,No,Compass,7/18/2022,10:48 AM,11:48 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2074,2074,No,Mountains,7/19/2022,10:57 AM,12:00 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Golledge Hall
2075,2075,No,Compass,7/19/2022,12:20 PM,1:35 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2076,2076,No,Mountains,7/19/2022,1:57 PM,2:55 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2077,2077,No,Compass,7/19/2022,4:48 PM,5:59 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Lynch Station
2078,2078,No,Mountains,7/20/2022,9:30 AM,10:40 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Golledge Hall
2079,2079,No,Compass,7/20/2022,2:30 PM,3:27 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Golledge Hall
2080,2080,No,Compass,7/21/2022,11:48 AM,1:18 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2081,2081,No,Compass,7/22/2022,11:01 AM,n/a,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",n/a
2082,2082,No,Compass,7/26/22022,10:57 AM,n/a,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",n/a
2083,2083,No,Mountains,7/28/2022,9:35 AM,10:31 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2084,2084,No,Mountains,7/28/2022,12:38 PM,1:57 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Sauer Center
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
