"participant","Overall_r","Overall_rsquared","Overall_angle","Overall_x_scale","Overall_y_scale","Overall_distortion_index","Batty_r","Batty_rsquared","Batty_angle","Batty_x_scale","Batty_y_scale","Batty_distortion_index","Golledge_r","Golledge_rsquared","Golledge_angle","Golledge_x_scale","Golledge_y_scale","Golledge_distortion_index"
"2015",0.768643146444634,0.590812286576308,183.939978983932,0.509999808596415,0.509999808596415,0.409187713423692,0.723025532633179,0.522765920839492,240.888746903741,0.216649461419614,0.216649461419614,0.477234079160509,0.829139498581767,0.687472308108423,73.7774829482409,0.566576466128389,0.566576466128389,0.312527691891576
"2016",0.668121553776171,0.446386410620285,-25.7144130369575,0.596677875470512,0.596677875470512,0.553613589379715,0.842814441458194,0.710336182730488,-52.1467385958733,1.33544002632508,1.33544002632508,0.289663817269512,0.491733554916305,0.241801889030627,-47.2899928609911,0.569332679314982,0.569332679314982,0.758198110969373
"2017",0.895489849806713,0.80190207110685,97.3429906627443,0.717008087324807,0.717008087324807,0.19809792889315,0.966453323041809,0.934032025618556,141.385190163628,0.837008887755629,0.837008887755629,0.0659679743814439,0.95189837171797,0.906110510079323,100.612720136793,1.07820205065327,1.07820205065327,0.0938894899206774
"2018",0.909422667960371,0.82704958900016,162.739681212113,0.722966967634392,0.722966967634392,0.17295041099984,0.873104659489221,0.762311746421788,174.286633098588,0.892897444494886,0.892897444494886,0.237688253578211,0.929702268466166,0.864346307991135,177.065144595075,1.07343424208877,1.07343424208877,0.135653692008865
"2019",0.939238332274602,0.882168644813976,162.42962075068,0.831161095531443,0.831161095531443,0.117831355186025,0.822327693682476,0.67622283579714,148.440319903033,0.612682987309072,0.612682987309072,0.32377716420286,0.932175670630776,0.868951480915937,189.417302445101,0.998849232712733,0.998849232712733,0.131048519084063
"2021",0.741844436555166,0.550333168047852,129.373157236967,0.669851037828791,0.669851037828791,0.449666831952148,0.934411361225258,0.87312459198684,145.278731133568,1.28432321488591,1.28432321488591,0.12687540801316,0.909997508789773,0.828095466003593,21.0103902875662,1.01608297549117,1.01608297549117,0.171904533996406
"2022",0.295683041981701,0.0874284613155521,49.5019611061827,0.265067298244885,0.265067298244885,0.912571538684448,0.844158059310067,0.712602829098138,-32.5242868330443,1.12836684660575,1.12836684660575,0.287397170901861,0.892692456030871,0.796899821054428,-19.9888279141452,1.2966282561551,1.2966282561551,0.203100178945572
"2023",0.617562848317232,0.381383871621692,26.5929948709703,0.547083530762542,0.547083530762542,0.618616128378308,0.458378442202621,0.210110796276101,46.0510894488586,0.589415941939767,0.589415941939767,0.789889203723899,0.414962202325711,0.172193629359004,91.4893716236047,0.569472965492596,0.569472965492596,0.827806370640996
"2024",0.258554479248188,0.0668504187393015,67.5301892305566,0.239094070751579,0.239094070751579,0.933149581260698,0.707724288090647,0.500873667953413,-29.8631565332597,1.21729210548546,1.21729210548546,0.499126332046587,0.947628360898753,0.897999510379657,165.34910281682,1.07735937476075,1.07735937476075,0.102000489620343
"2025",0.927097866467154,0.859510454007949,124.669319274466,0.75601629503156,0.75601629503156,0.140489545992051,0.959539812077351,0.920716650961439,138.001851829638,0.866471712424211,0.866471712424211,0.0792833490385612,0.937938559729117,0.87972874182673,89.3370362288369,1.12828370918728,1.12828370918728,0.12027125817327
"2026",0.6191665270381,0.383367188204422,52.043626998448,0.548691127472344,0.548691127472344,0.616632811795578,0.580006818156676,0.336407909108231,-16.6262944248234,0.676436462598476,0.676436462598476,0.663592090891768,0.444919834963292,0.197953659543763,174.692083552297,0.449699726269393,0.449699726269393,0.802046340456236
"2027",0.749740159910573,0.562110307382731,-66.7314253779432,0.624434252059693,0.624434252059693,0.437889692617269,0.891045122288598,0.793961409954302,263.019331835594,0.49596357192915,0.49596357192915,0.206038590045697,0.550335433919188,0.302869089827021,257.177172408692,0.934274075984558,0.934274075984558,0.69713091017298
"2027",0.403424886567961,0.162751639102372,-40.4017984148662,0.298036837273345,0.298036837273345,0.837248360897628,0.814676710934344,0.663698143338801,-28.7791603103961,0.668477481043959,0.668477481043959,0.336301856661198,0.644640020563256,0.415560756111795,-82.0513932752138,1.23771073377683,1.23771073377683,0.584439243888204
"2028",0.643512781856831,0.414108700413117,118.534246193067,0.552740615058365,0.552740615058365,0.585891299586883,0.69705975238,0.485892298388067,141.511077533817,0.921173101356951,0.921173101356951,0.514107701611932,0.881668729857127,0.777339749207879,184.575053872504,1.15072217618441,1.15072217618441,0.222660250792121
"2029",0.849568785153743,0.721767120707608,-29.1634994193636,0.80235675926489,0.80235675926489,0.278232879292393,0.987310293154292,0.974781614968413,-40.2417256817553,1.48546421965232,1.48546421965232,0.0252183850315868,0.62325587071171,0.388447880376612,3.77068714461166,0.757547014812292,0.757547014812292,0.611552119623387
"2030",0.624106851027559,0.389509361499536,139.937996161316,0.438063358765129,0.438063358765129,0.610490638500463,0.775403181628459,0.601250094079537,65.6336231335952,0.838340510790483,0.838340510790483,0.398749905920463,0.880903848500162,0.775991590302397,182.604827221947,0.836199919933684,0.836199919933684,0.224008409697603
"2031",0.511270686586073,0.261397714962195,71.668918984608,0.447970146878759,0.447970146878759,0.738602285037805,0.804110474042574,0.646593654464973,18.5101778120815,0.999147360043891,0.999147360043891,0.353406345535027,0.257681209970276,0.0663996059717455,45.2732319241685,0.428671732371148,0.428671732371148,0.933600394028254
"2033",0.232693623306856,0.0541463223276729,164.520545069133,0.162672530663236,0.162672530663236,0.945853677672327,0.36889295998767,0.136082015928465,235.493691088271,0.445976226652262,0.445976226652262,0.863917984071535,0.388365011897111,0.150827382465843,153.995470864308,0.508958638997708,0.508958638997708,0.849172617534156
"2034",0.453189627929905,0.205380838863246,59.4572273276681,0.372614201442538,0.372614201442538,0.794619161136755,0.880612782461512,0.775478872634606,1.13810475023169,1.20204447580001,1.20204447580001,0.224521127365394,0.912218617308986,0.832142805765117,27.7639097632891,1.17940318557234,1.17940318557234,0.167857194234882
"2035",0.739001967096426,0.546123907372387,-54.0857950870163,0.609643587585722,0.609643587585722,0.453876092627614,0.684133846939941,0.468039120528843,-19.7055627137276,0.676809196707368,0.676809196707368,0.531960879471157,0.802791326346377,0.644473913656975,-53.9458521226218,1.33204337517792,1.33204337517792,0.355526086343025
"2036",0.478360648956795,0.228828910470366,111.737889724209,0.423059554052239,0.423059554052239,0.771171089529634,0.96449805258895,0.930256493447877,109.911346797435,1.19670787019046,1.19670787019046,0.0697435065521233,0.649384448283064,0.421700161671899,138.547008996902,1.35157258536919,1.35157258536919,0.578299838328101
"2037",0.925170068277385,0.855939655236381,-24.4454810780955,0.83552440130017,0.83552440130017,0.144060344763619,0.967541765242891,0.93613706748933,-27.9934223031759,1.08390347113692,1.08390347113692,0.0638629325106691,0.901413325304352,0.812545983036249,-18.747385310547,1.34020518488601,1.34020518488601,0.187454016963751
"2038",0.97115472818408,0.943141506074294,150.411123335,0.962793563418494,0.962793563418494,0.0568584939257056,0.955293170529773,0.912585041660825,141.789137900635,1.18206128724138,1.18206128724138,0.0874149583391746,0.954008700557038,0.910132600738528,153.398759822977,0.679013796689499,0.679013796689499,0.0898673992614724
"2039",0.78906677395404,0.622626373758236,-20.6017781767581,0.584536068828308,0.584536068828308,0.377373626241764,0.954572750307762,0.911209135630125,-31.4393802195506,1.05545035108649,1.05545035108649,0.0887908643698745,0.564189884229063,0.318310225466404,-68.2724517513512,0.631720837478014,0.631720837478014,0.681689774533597
"2040",0.928783255177049,0.862638335097275,-12.8242152511183,0.841443596283983,0.841443596283983,0.137361664902725,0.892523678000448,0.796598515791448,-51.3447223935261,0.796147972131833,0.796147972131833,0.203401484208552,0.962468906082038,0.926346395174755,-3.22659070378987,1.0022117544672,1.0022117544672,0.0736536048252453
"2041",0.915346186993063,0.83785864204274,128.709920878004,0.703498062450404,0.703498062450404,0.16214135795726,0.940003197692935,0.883606011672943,144.893677124242,0.693570565377816,0.693570565377816,0.116393988327057,0.918696559701228,0.844003368806872,93.5245332163037,1.11081425915359,1.11081425915359,0.155996631193128
"2042",0.939844213481321,0.883307145614323,6.37928623647358,0.924981473920967,0.924981473920967,0.116692854385677,0.957464759599571,0.916738765875065,4.22037309968703,1.06517469431728,1.06517469431728,0.0832612341249351,0.612731966720852,0.375440463041604,28.5437845868405,0.614972150001859,0.614972150001859,0.624559536958396
"2043",0.942298558759378,0.88792657384,-31.2750927633061,0.782236827486927,0.782236827486927,0.11207342616,0.905967830915704,0.820777710654105,-26.3619545708991,0.888286753740459,0.888286753740459,0.179222289345895,0.929612273095589,0.864178978289949,-21.4126403348569,1.10106029884472,1.10106029884472,0.135821021710051
