,participant,start_landmark,target_landmark,point_order,participant_response,actual_direction,correct_absolute_error,within_between
27,7,Harvey House,Tobler Museum,21.0,48.34397,42.14615862727205,6.197811372727948,between
28,7,Golledge Hall,Batty House,29.0,-155.939,173.56946174631767,30.491538253682336,between
29,7,Golledge Hall,Lynch Station,28.0,-137.0714,-173.9683139144782,36.896913914478176,between
30,7,Golledge Hall,Harris Hall,30.0,-152.2569,176.2022806137976,31.54081938620243,between
31,7,Golledge Hall,Harvey House,32.0,166.79,139.93093678256204,26.85906321743795,between
32,7,Golledge Hall,Snow Church,33.0,2.237996,1.2041344013640871,1.0338615986359128,within_b
33,7,Golledge Hall,Sauer Center,34.0,-74.95602,-76.21088344473237,1.2548634447323792,within_b
34,7,Golledge Hall,Tobler Museum,31.0,-144.6045,-147.02844706156867,2.4239470615686685,within_b
35,7,Snow Church,Batty House,35.0,-73.40221,-90.6470094165935,17.24479941659351,between
36,7,Snow Church,Lynch Station,38.0,-50.5539,-79.44851915391442,28.89461915391442,between
37,7,Snow Church,Harris Hall,36.0,-65.58543,-88.09346154480704,22.50803154480704,between
38,7,Snow Church,Harvey House,41.0,-82.59255999999999,-119.69295786010946,37.10039786010947,between
39,7,Snow Church,Golledge Hall,39.0,-124.9636,-125.84311454991943,0.879514549919449,within_b
40,7,Snow Church,Sauer Center,40.0,-0.8873521999999999,-0.2792623515826525,0.6080898484173474,within_b
41,7,Snow Church,Tobler Museum,37.0,-63.55132,-63.69277616633404,0.1414561663340379,within_b
42,7,Sauer Center,Batty House,45.0,33.27995,6.74450862234883,26.535441377651168,between
43,7,Sauer Center,Lynch Station,48.0,46.67991,17.762054920259878,28.91785507974012,between
44,7,Sauer Center,Harris Hall,43.0,20.93843,4.240040563502457,16.698389436497543,between
45,7,Sauer Center,Harvey House,42.0,-7.547561999999999,-23.09134403283715,15.54378203283715,between
46,7,Sauer Center,Golledge Hall,44.0,-51.1604,-51.85616181338526,0.6957618133852606,within_b
47,7,Sauer Center,Snow Church,47.0,-88.22916,-89.63525725921562,1.4060972592156276,within_b
48,7,Sauer Center,Tobler Museum,46.0,3.846747,2.713388186025373,1.1333588139746271,within_b
49,7,Tobler Museum,Batty House,54.0,-129.0162,-171.00866513563608,41.99246513563608,between
50,7,Tobler Museum,Lynch Station,53.0,-104.3021,-156.23556254554433,51.93346254554433,between
51,7,Tobler Museum,Harris Hall,51.0,-134.4106,-173.2852643263075,38.87466432630751,between
52,7,Tobler Museum,Harvey House,52.0,-168.49200000000002,147.2481909967967,44.25980900320332,between
53,7,Tobler Museum,Golledge Hall,49.0,82.02969,67.30353066020724,14.726159339792758,within_b
54,7,Tobler Museum,Snow Church,50.0,38.32668,38.782798085606366,0.45611808560637,within_b
55,7,Tobler Museum,Sauer Center,55.0,-3.3184760000000004,-20.69981415519988,17.38133815519988,within_b
0,4,Batty House,Lynch Station,2.0,-36.69104,-47.32798389151449,10.636943891514491,within_a
1,4,Batty House,Harris Hall,0.0,36.36316,37.52863730402907,1.1654773040290678,within_a
2,4,Batty House,Harvey House,5.0,14.11465,93.19423765817854,79.07958765817854,within_a
3,4,Batty House,Golledge Hall,1.0,74.64844000000001,51.76768153806614,22.880758461933866,between
4,4,Batty House,Snow Church,3.0,99.51304,48.19947553081968,51.31356446918032,between
5,4,Batty House,Sauer Center,6.0,66.52134000000001,30.331695097476896,36.18964490252311,between
6,4,Batty House,Tobler Museum,4.0,47.98465,37.30802198129223,10.676628018707774,between
7,4,Lynch Station,Batty House,12.0,137.0232,130.6542463331721,6.368953666827906,within_a
8,4,Lynch Station,Harris Hall,7.0,-23.15068,7.02170467090796,30.17238467090796,within_a
9,4,Lynch Station,Harvey House,8.0,6.782117,48.19593801359592,41.41382101359592,within_a
10,4,Lynch Station,Golledge Hall,10.0,73.12698,-3.323863738061074,76.45084373806108,between
11,4,Lynch Station,Snow Church,9.0,23.31742,-8.968174613078338,32.28559461307834,between
12,4,Lynch Station,Sauer Center,11.0,45.02055,-29.209033423777672,74.22958342377767,between
13,4,Lynch Station,Tobler Museum,13.0,20.67681,-17.950764420634226,38.62757442063423,between
14,4,Harris Hall,Batty House,14.0,121.2896,83.35216568459656,37.93743431540344,within_a
15,4,Harris Hall,Lynch Station,19.0,120.3796,114.56279427841682,5.816805721583179,within_a
